                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.76003,                0.45295,                 1.0173,                0.94873,                0.91155,                0.97644,                0.78513,                 0.7908,                0.42256,                0.98158,               0.001748,               0.001748,               0.001748
                     72,                0.76893,                 0.4547,                 1.0182,                0.92412,                0.93857,                0.97774,                 0.7831,                0.79929,                0.43814,                0.98734,              0.0017444,              0.0017444,              0.0017444
                     73,                0.75747,                0.44909,                 1.0193,                0.90341,                0.92138,                0.96846,                0.77197,                0.82113,                0.44169,                0.99158,              0.0017408,              0.0017408,              0.0017408
                     74,                0.76546,                0.44167,                 1.0129,                0.87998,                0.95086,                0.97406,                0.77099,                  0.852,                 0.4392,                 1.0042,              0.0017372,              0.0017372,              0.0017372
                     75,                0.77162,                0.44582,                  1.018,                0.93049,                0.89926,                0.97231,                0.77489,                0.81677,                0.45075,                0.98829,              0.0017336,              0.0017336,              0.0017336
                     76,                0.76387,                0.44247,                 1.0016,                0.92484,                0.90703,                0.97293,                0.77288,                0.81669,                0.44218,                0.98558,                0.00173,                0.00173,                0.00173
                     77,                0.74921,                0.44103,                 1.0041,                0.90643,                0.93857,                0.97367,                0.77503,                0.80459,                0.43881,                0.98647,              0.0017264,              0.0017264,              0.0017264
                     78,                0.75551,                0.44453,                 1.0132,                 0.8699,                0.94595,                0.97148,                0.78352,                0.79841,                0.44324,                0.98072,              0.0017228,              0.0017228,              0.0017228
                     79,                0.75842,                0.44839,                 1.0215,                0.90646,                 0.9484,                0.97744,                0.77903,                0.80803,                0.44921,                0.98429,              0.0017192,              0.0017192,              0.0017192
                     80,                0.75552,                0.44667,                 1.0082,                0.91812,                0.93668,                0.97459,                 0.7731,                0.82777,                0.44053,                0.99142,              0.0017156,              0.0017156,              0.0017156
                     81,                0.75332,                0.43753,                 1.0089,                0.90334,                0.94103,                0.97455,                0.78067,                 0.8108,                0.43486,                0.99158,               0.001712,               0.001712,               0.001712
                     82,                0.74338,                0.42675,                  1.008,                0.91154,                 0.9312,                0.97335,                0.78186,                0.80794,                0.43673,                 0.9872,              0.0017084,              0.0017084,              0.0017084
                     83,                0.74988,                0.44703,                 1.0039,                0.93321,                0.92691,                0.97382,                0.76537,                0.82934,                0.45803,                0.99025,              0.0017048,              0.0017048,              0.0017048
                     84,                 0.7508,                0.44099,                 1.0191,                0.91078,                0.92808,                0.97144,                0.77659,                 0.8079,                 0.4412,                0.98784,              0.0017012,              0.0017012,              0.0017012
                     85,                0.73889,                0.42948,                  1.009,                0.91234,                0.92059,                0.97372,                0.78422,                0.78839,                0.43003,                0.97438,              0.0016976,              0.0016976,              0.0016976
                     86,                0.74873,                0.44637,                 1.0106,                0.93356,                0.92629,                0.97683,                 0.7826,                0.80255,                0.45335,                 0.9804,               0.001694,               0.001694,               0.001694
                     87,                 0.7456,                0.43984,                 1.0053,                0.90119,                0.95086,                0.97303,                 0.7696,                0.82825,                0.43571,                0.99536,              0.0016904,              0.0016904,              0.0016904
                     88,                0.75003,                0.43471,                 1.0004,                0.94095,                0.90418,                0.97689,                0.78195,                0.80037,                0.41902,                0.98297,              0.0016868,              0.0016868,              0.0016868
                     89,                0.71913,                0.41687,                0.99517,                0.96047,                0.88452,                0.97515,                0.78409,                0.80308,                0.41384,                0.98373,              0.0016832,              0.0016832,              0.0016832
                     90,                0.72729,                0.42483,                 1.0095,                0.94679,                0.91892,                0.97446,                0.78156,                0.80681,                0.42302,                0.97838,              0.0016796,              0.0016796,              0.0016796
                     91,                0.74419,                0.43063,                  1.009,                0.93892,                0.90646,                0.97059,                0.77741,                0.78424,                0.43691,                0.98002,               0.001676,               0.001676,               0.001676
                     92,                0.73978,                0.43045,                0.99997,                0.93632,                0.90313,                 0.9751,                 0.7772,                0.81387,                 0.4186,                0.98587,              0.0016724,              0.0016724,              0.0016724
                     93,                0.73767,                0.42567,                 1.0104,                0.91008,                0.91892,                0.97279,                0.78741,                0.80111,                0.41724,                0.98135,              0.0016688,              0.0016688,              0.0016688
